PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Li, D; Müller, MB; Gilje, S; Kaner, RB; Wallace, GG				Li, Dan; Mueller, Marc B.; Gilje, Scott; Kaner, Richard B.; Wallace, Gordon G.			Processable aqueous dispersions of graphene nanosheets	NATURE NANOTECHNOLOGY												Graphene sheets offer extraordinary electronic, thermal and mechanical properties and are expected to find a variety of applications. A prerequisite for exploiting most proposed applications for graphene is the availability of processable graphene sheets in large quantities. The direct dispersion of hydrophobic graphite or graphene sheets in water without the assistance of dispersing agents has generally been considered to be an insurmountable challenge. Here we report that chemically converted graphene sheets obtained from graphite can readily form stable aqueous colloids through electrostatic stabilization. This discovery has enabled us to develop a facile approach to large-scale production of aqueous graphene dispersions without the need for polymeric or surfactant stabilizers. Our findings make it possible to process graphene materials using low-cost solution processing techniques, opening up enormous opportunities to use this unique carbon nanostructure for many technological applications.					Wallace, Gordon/H-1123-2011; Li, Dan/B-9316-2008	Wallace, Gordon/0000-0002-0381-7273; Li, Dan/0000-0003-3461-5751													1748-3387					FEB	2008	3	2					101	105		10.1038/nnano.2007.451	http://dx.doi.org/10.1038/nnano.2007.451								18654470					WOS:000253634500015
J	Togo, A; Tanaka, I				Togo, Atsushi; Tanaka, Isao			First principles phonon calculations in materials science	SCRIPTA MATERIALIA												Phonon plays essential roles in dynamical behaviors and thermal properties, which are central topics in fundamental issues of materials science. The importance of first principles phonon calculations cannot be overly emphasized. Phonopy is an open source code for such calculations launched by the present authors, which has been world-widely used. Here we demonstrate phonon properties with fundamental equations and show examples how the phonon calculations are applied in materials science. (C) 2015 Acta Materialia Inc. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.orgilicenses/by/4.0/).					TOGO, Atsushi/D-1080-2017; Tanaka, Isao/B-5941-2009	Tanaka, Isao/0000-0002-4616-118X													1359-6462					NOV	2015	108						1	5		10.1016/j.scriptamat.2015.07.021	http://dx.doi.org/10.1016/j.scriptamat.2015.07.021													WOS:000360250700001
J	Henkelman, G; Arnaldsson, A; Jónsson, H				Henkelman, Graeme; Arnaldsson, Andri; Jonsson, Hannes			A fast and robust algorithm for Bader decomposition of charge density	COMPUTATIONAL MATERIALS SCIENCE												An algorithm is presented for carrying out decomposition of electronic charge density into atomic contributions. As suggested by Bader [R. Bader, Atoms in Molecules: A Quantum Theory, Oxford University Press, New York, 1990], space is divided up into atomic regions where the dividing surfaces are at a minimum in the charge density, i.e. the gradient of the charge density is zero along the surface normal. Instead of explicitly finding and representing the dividing surfaces, which is a challenging task, our algorithm assigns each point on a regular (x, y, z) grid to one of the regions by following a steepest ascent path on the grid. The computational work required to analyze a given charge density grid is approximately 50 arithmetic operations per grid point. The work scales linearly with the number of grid points and is essentially independent of the number of atoms in the system. The algorithm is robust and insensitive to the topology of molecular bonding. In addition to two test problems involving a water molecule and NaCl crystal, the algorithm has been used to estimate the electrical activity of a cluster of boron atoms in a silicon crystal. The highly stable three-atom boron cluster, B3I is found to have a charge of -1.5 e, which suggests approximately 50% reduction in electrical activity as compared with three substitutional boron atoms. (c) 2005 Elsevier B.V. All rights reserved.					Henkelman, Graeme/A-9301-2008; Jonsson, Hannes/G-2267-2013	Jonsson, Hannes/0000-0001-8285-5421													0927-0256	1879-0801				JUN	2006	36	3					354	360		10.1016/j.commatsci.2005.04.010	http://dx.doi.org/10.1016/j.commatsci.2005.04.010													WOS:000237716100012
J	Splendiani, A; Sun, L; Zhang, YB; Li, TS; Kim, J; Chim, CY; Galli, G; Wang, F				Splendiani, Andrea; Sun, Liang; Zhang, Yuanbo; Li, Tianshu; Kim, Jonghwan; Chim, Chi-Yung; Galli, Giulia; Wang, Feng			Emerging Photoluminescence in Monolayer MoS<sub>2</sub>	NANO LETTERS												Novel physical phenomena can emerge in low-dimensional nanomaterials. Bulk MoS2, a prototypical metal dichalcogenide, is an indirect bandgap semiconductor with negligible photoluminescence. When the MoS2 crystal is thinned to monolayer, however, a strong photoluminescence emerges, indicating an indirect to direct bandgap transition in this d-electron system. This observation shows that quantum confinement in layered d-electron materials like MoS2 provides new opportunities for engineering the electronic structure of matter at the nanoscale.					Li, Tianshu/Q-3688-2019; Li, Tianshu/H-6336-2011; Wang, feng/I-5727-2015	Li, Tianshu/0000-0002-0529-543X; Wang, feng/0000-0001-8369-6194; Chim, Chi Yung/0000-0001-8746-4673													1530-6984					APR	2010	10	4					1271	1275		10.1021/nl903868w	http://dx.doi.org/10.1021/nl903868w								20229981					WOS:000276557100031
J	Jain, A; Ong, SP; Hautier, G; Chen, W; Richards, WD; Dacek, S; Cholia, S; Gunter, D; Skinner, D; Ceder, G; Persson, KA				Jain, Anubhav; Shyue Ping Ong; Hautier, Geoffroy; Chen, Wei; Richards, William Davidson; Dacek, Stephen; Cholia, Shreyas; Gunter, Dan; Skinner, David; Ceder, Gerbrand; Persson, Kristin A.			Commentary: The Materials Project: A materials genome approach to accelerating materials innovation	APL MATERIALS												Accelerating the discovery of advanced materials is essential for human welfare and sustainable, clean energy. In this paper, we introduce the Materials Project (www.materialsproject.org), a core program of the Materials Genome Initiative that uses high-throughput computing to uncover the properties of all known inorganic materials. This open dataset can be accessed through multiple channels for both interactive exploration and data mining. The Materials Project also seeks to create open-source platforms for developing robust, sophisticated materials analyses. Future efforts will enable users to perform "rapid-prototyping" of new materials in silico, and provide researchers with new avenues for cost-effective, data-driven materials design. (C) 2013 Author(s).					Ceder, Gerbrand/Y-2544-2019; Persson, Kristin/ABE-6343-2020; Dacek, Stephen/J-6036-2015; Hautier, Geoffroy/GQP-2814-2022; Chen, Wei/B-3045-2012; Ong, Shyue/D-7573-2014	Skinner, David/0000-0002-8169-3958; Gunter, Dan/0000-0002-2779-2744; Cholia, Shreyas/0000-0002-4775-8201													2166-532X					JUL	2013	1	1							011002	10.1063/1.4812323	http://dx.doi.org/10.1063/1.4812323													WOS:000332272300003
J	Kokubo, T; Takadama, H				Kokubo, T; Takadama, H			How useful is SBF in predicting in vivo bone bioactivity?	BIOMATERIALS												The bone-bonding ability of a material is often evaluated by examining the ability of apatite to form on its surface in a simulated body fluid (SBF) with ion concentrations nearly equal to those of human blood plasma. However, the validity of this method for evaluating bone-bonding ability has not been assessed systematically. Here, the history of SBF, correlation of the ability of apatite to form oil various materials in SBF with their in vivo bone bioactivities, and some examples of the development of novel bioactive materials based on apatite formation in SBF are reviewed. It was concluded that examination of apatite formation on a material in SBF is useful for predicting the in vivo bone bioactivity of a material, and the number of animals used in and the duration of animal experiments call be reduced remarkably by using this method. (c) 2006 Elsevier Ltd. All rights reserved.																			0142-9612	1878-5905				MAY	2006	27	15					2907	2915		10.1016/j.biomaterials.2006.01.017	http://dx.doi.org/10.1016/j.biomaterials.2006.01.017								16448693					WOS:000236434000001
J	Stoller, MD; Park, SJ; Zhu, YW; An, JH; Ruoff, RS				Stoller, Meryl D.; Park, Sungjin; Zhu, Yanwu; An, Jinho; Ruoff, Rodney S.			Graphene-Based Ultracapacitors	NANO LETTERS												The surface area of a single graphene sheet is 2630 m(2)/g, substantially higher than values derived from BET surface area measurements of activated carbons used in current electrochemical double layer capacitors. Our group has pioneered a new carbon material that we call chemically modified graphene (CMG). CMG materials are made from 1-atom thick sheets of carbon, functionalized as needed, and here we demonstrate in an ultracapacitor cell their performance, Specific capacitances of 135 and 99 F/g in aqueous and organic electrolytes, respectively, have been measured. In addition, high electrical conductivity gives these materials consistently good performance over a wide range of voltage scan rates. These encouraging results illustrate the exciting potential for high performance, electrical energy storage devices based on this new class of carbon material.					Zhu, Yanwu/C-8979-2012; Ruoff, Rodney/B-7605-2009; Park, Sungjin/A-2790-2009	Park, Sungjin/0000-0002-1447-4536													1530-6984	1530-6992				OCT	2008	8	10					3498	3502		10.1021/nl802558y	http://dx.doi.org/10.1021/nl802558y								18788793					WOS:000259906800077
J	Li, LK; Yu, YJ; Ye, GJ; Ge, QQ; Ou, XD; Wu, H; Feng, DL; Chen, XH; Zhang, YB				Li, Likai; Yu, Yijun; Ye, Guo Jun; Ge, Qingqin; Ou, Xuedong; Wu, Hua; Feng, Donglai; Chen, Xian Hui; Zhang, Yuanbo			Black phosphorus field-effect transistors	NATURE NANOTECHNOLOGY												Two-dimensional crystals have emerged as a class of materials that may impact future electronic technologies. Experimentally identifying and characterizing new functional two-dimensional materials is challenging, but also potentially rewarding. Here, we fabricate field-effect transistors based on few-layer black phosphorus crystals with thickness down to a few nanometres. Reliable transistor performance is achieved at room temperature in samples thinner than 7.5 nm, with drain current modulation on the order of 10(5) and well-developed current saturation in the I-V characteristics. The charge-carrier mobility is found to be thickness-dependent, with the highest values up to similar to 1,000 cm(2) V-1 s(-1) obtained for a thickness of similar to 10nm. Our results demonstrate the potential of black phosphorus thin crystals as a new two-dimensional material for applications in nanoelectronic devices.					Chen, Xianhui/JXX-1276-2024; Ou, Xuedong/H-7585-2013; Yu, Yijun/F-3648-2015; Feng, Donglai/R-1615-2018; Wu, Hua/B-6219-2009														1748-3387	1748-3395				MAY	2014	9	5					372	377		10.1038/NNANO.2014.35	http://dx.doi.org/10.1038/NNANO.2014.35								24584274					WOS:000336235800014
J	Schedin, F; Geim, AK; Morozov, SV; Hill, EW; Blake, P; Katsnelson, MI; Novoselov, KS				Schedin, F.; Geim, A. K.; Morozov, S. V.; Hill, E. W.; Blake, P.; Katsnelson, M. I.; Novoselov, K. S.			Detection of individual gas molecules adsorbed on graphene	NATURE MATERIALS												The ultimate aim of any detection method is to achieve such a level of sensitivity that individual quanta of a measured entity can be resolved. In the case of chemical sensors, the quantum is one atom or molecule. Such resolution has so far been beyond the reach of any detection technique, including solid-state gas sensors hailed for their exceptional sensitivity(1-4). The fundamental reason limiting the resolution of such sensors is fluctuations due to thermal motion of charges and defects(5), which lead to intrinsic noise exceeding the sought-after signal from individual molecules, usually by many orders of magnitude. Here, we show that micrometre-size sensors made from graphene are capable of detecting individual events when a gas molecule attaches to or detaches from graphene's surface. The adsorbed molecules change the local carrier concentration in graphene one by one electron, which leads to step-like changes in resistance. The achieved sensitivity is due to the fact that graphene is an exceptionally low-noise material electronically, which makes it a promising candidate not only for chemical detectors but also for other applications where local probes sensitive to external charge, magnetic field or mechanical strain are required.					Katsnelson, Mikhail/D-4359-2012; Blake, Peter/E-8556-2010; Geim, Andre/J-7888-2012; Morozov, Sergey/H-3171-2014; Novoselov, Kostya/G-9581-2014; Hill, Ernie/K-6942-2015	hai yan, he/0000-0003-0366-6185; Morozov, Sergey/0000-0003-3075-7787; Novoselov, Kostya/0000-0003-4972-5371; Hill, Ernie/0000-0001-9412-6795													1476-1122					SEP	2007	6	9					652	655		10.1038/nmat1967	http://dx.doi.org/10.1038/nmat1967								17660825					WOS:000249236200017
J	Protesescu, L; Yakunin, S; Bodnarchuk, MI; Krieg, F; Caputo, R; Hendon, CH; Yang, RX; Walsh, A; Kovalenko, MV				Protesescu, Loredana; Yakunin, Sergii; Bodnarchuk, Maryna I.; Krieg, Franziska; Caputo, Riccarda; Hendon, Christopher H.; Yang, Ruo Xi; Walsh, Aron; Kovalenko, Maksym V.			Nanocrystals of Cesium Lead Halide Perovskites (CsPbX<sub>3</sub>, X = Cl, Br, and I): Novel Optoelectronic Materials Showing Bright Emission with Wide Color Gamut	NANO LETTERS												Metal halides perovskites, such as hybrid organic-inorganic CH3NH3PbI3, are newcomer optoelectronic materials that have attracted enormous attention as solution-deposited absorbing layers in solar cells with power conversion efficiencies reaching 20%. Herein we demonstrate a new avenue for halide perovskites by designing highly luminescent perovskite-based colloidal quantum dot materials. We have synthesized monodisperse colloidal nanocubes (4-15 nm edge lengths) of fully inorganic cesium lead halide perovskites (CsPbX3, X = Cl, Br, and I or mixed halide systems Cl/Br and Br/I) using inexpensive commercial precursors. Through compositional modulations and quantum size-effects, the bandgap energies and emission spectra are readily tunable over the entire visible spectral region of 410-700 nm. The photoluminescence of CsPbX3 nanocrystals is characterized by narrow emission line-widths of 12-42 nm, wide color gamut covering up to 140% of the NTSC color standard, high quantum yields of up to 90%, and radiative lifetimes in the range of 1-29 ns. The compelling combination of enhanced optical properties and chemical robustness makes CsPbX3 nanocrystals appealing for optoelectronic applications, particularly for blue and green spectral regions (410-530 nm), where typical metal chalcogenide-based quantum dots suffer from photodegradation.					Walsh, Aron/A-7843-2008; yang, ruoxi/JFA-8920-2023; Yakunin, Sergii/N-7891-2018; Kovalenko, Maksym/B-6844-2008; Protesescu, Loredana/P-3031-2017	Yakunin, Sergii/0000-0002-6409-0565; Yang, Ruo Xi/0000-0001-8225-5856; Walsh, Aron/0000-0001-5460-7033; Krieg, Franziska/0000-0002-0370-1318; Caputo, Riccarda/0000-0002-0772-6619; Hendon, Christopher/0000-0002-7132-768X; Kovalenko, Maksym/0000-0002-6396-8938; Bodnarchuk, Maryna/0000-0001-6597-3266; Protesescu, Loredana/0000-0002-9776-9881													1530-6984	1530-6992				JUN	2015	15	6					3692	3696		10.1021/nl5048779	http://dx.doi.org/10.1021/nl5048779								25633588					WOS:000356316900006
