ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Two-photon microscopy has been widely accepted as a powerful tool to provide both qualitative and quantitative information in bone research. This chapter will describe a step-by-step protocol for using two-photon microscopy to track the colonization of cancer cells to bone using frozen bone samples of xenograft mouse models.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"The obligate human pathogen Neisseria gonorrhoeae colonizes primarily the mucosal columnar epithelium of the male urethra and the female endocervix. In addition, gonococci can infect the anorectal, pharyngeal, and gingival mucosae and epithelial cells of the conjunctiva. More rarely, the organism can disseminate through the bloodstream, which can involve interactions with other host cell types, including blood vessel endothelial cells and innate immune cells such as dendritic cells, macrophages, and neutrophils. ""Disseminated gonococcal infection"" is a serious condition with various manifestations resulting from the seeding of organs and tissues with the pathogen. The host response to gonococcal infection is inflammatory. Knowledge of the biology of gonococcal interactions has been served well through the use of a wide variety of ex vivo models using host tissues and eukaryotic cell monocultures. These models have helped identify bacterial surface adhesins and invasins and the corresponding cell surface receptors that play roles in gonococcal pathogenesis. Furthermore, they have been useful for understanding virulence mechanisms as well as innate and adaptive immune responses. In this chapter, readers are provided with protocols for examining the basic interactions between gonococci and a representative human cell line.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Background: In eukaryotic cells, apoptosis signaling pathways are controlled mainly by aspartic acid cysteine proteases (caspases). However, certain unicellular microorganisms, such as Giardia duodenalis, lack these proteins. Thus, other cysteine proteases may play an important role in the parasite apoptosis signaling pathway. Objective: To understand the effect of cathepsin B-like inhibition on the cell viability of Giardia duodenalis and its cell death process. Methods: Bioinformatics analysis was performed to identify apoptotic proteases. Analysis showed that cathepsin B-like protease genes from G. duodenalis were the best candidate. A homology modeling technique was used to explore in silico the inhibitory effect of E-64 against cathepsin B-like proteases from G. duodenalis genome and to examine the effect of curcumin on cathepsin B-like activity regulation. In addition, the effect of E-64 on parasite survival and DNA fragmentation was tested. Results: Eight cathepsin B-like protease coding genes were identified in silico. Interestingly, while these sequences lacked the cathepsin B characteristic occluding loop, they maintained the catalytic active-site responsible for cathepsin B activity, which was evidenced by the increase in the degradation of the Z-RR-AMC substrate, suggesting the upregulation of the activity of these proteins. Additionally, inhibition of E-64 against G. duodenalis trophozoites caused a decrease in DNA fragmentation compared to control cells and had a positive effect on parasite survival after exposure to curcumin. Conclusion: Overall, these results suggested that Giardia duodenalis might have a cell death mechanism in which cathepsin B-like proteases play an important role.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Mast cells are key effector cells in inflammatory and allergic immune responses such as asthma, rhinitis, and atopic dermatitis. Activation of mast cells leads to immediate release of preformed mediators such as histamine and proteases, which can regulate vascular permeability and the function of a number of immune and nonimmune cells. Engineered nanomaterials (ENM) have been utilized for a wide range of applications and introduced into a number of consumer products; yet the consequent increase in human exposure and any potential adverse effects have not been fully evaluated. Modulation of the immune system function has been shown to be a major toxicological consequence of ENM exposure. The implication of mast cells in ENM-mediated toxicity, including the most widely utilized carbon and metal-based ENMs, has been previously demonstrated; and therefore, understanding direct ENM interaction with mast cells at the cellular and molecular level is of critical importance for the safe implementation of ENMs into consumer products.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"This work aims to develop green linear low-density polyethylene (LLDPE) composites that are commercially viable due to the low cost of the date palm leaflet filler, which is a local renewable resource. The filler was naturally treated with gum arabic solution. FT-IR, XRD, and SEM techniques were used to characterize the samples. The thermal and mechanical properties were measured by TGA, DSC, and tensile testing. The results showed noticeable changes in the properties of the composites compared to those of the original LLDPE sample. TGA revealed TGA revealed that the composite started thermally. The composites started thermally degrading before the original polymer, owing to the degradation of the natural components in the filler. The findings from DSC suggested that the crystallinity was affected. The tensile testing results indicated that the composites were appropriate for applications requiring low tensile strength at break and high Young's modulus. A comparison of these results with earlier ones exhibited that the basic additives in the polymer may have an effect on the filler performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Dendritic cells (DCs) are powerful antigen presenting cells that are involved in regulating immune response. Plasmacytoid dendritic cells (pDCs) are subtype of DCs that present in small quantity in the bone marrow, peripheral blood, and lymph nodes. They are important component of our immune system in normal condition and diseases. They activate T cells and play a critical role in immune tolerance. In this chapter we review the immunophenotypic features of pDCs and provide a practical protocol for pDCs enumeration in the peripheral blood and bone marrow samples.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"A complete characterization of temperature -and voltage-activated TRP channel gating requires a precise determination of the absolute probability of opening in a wide range of voltages, temperatures, and agonist concentrations. We have achieved this in the case of the TRPM8 channel expressed in Xenopus laevis oocytes. Measurements covered an extensive range of probabilities and unprecedented applied voltages up to 500 mV. In this chapter, we describe animal care protocols of patch-clamp pipette preparation, temperature control methods, and analysis of ionic currents to obtain reliable absolute open channel probabilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Predation by protozoa provides a strong selective pressure for Legionella to develop and maintain mechanisms conferring resistance to digestion and ability to replicate within both amoebae and mammalian macrophages. Here we describe how to isolate environmental protozoa that prey on virulent Legionella. These protists are extremely useful models to study the cellular mechanisms employed by Legionellae to survive and grow in its natural environment. We present here procedures that are available to study the interactions between environmental protozoa and Legionella and thus increase our current understanding of Legionella virulence and the infection process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Sorghum has been considered a recalcitrant crop for tissue culture and genetic transformation. A breakthrough in Agrobacterium-mediated sorghum transformation was achieved with the use of super-binary cointegrate vectors based on plasmid pSB1. However, even with pSB1, transformation capability was restricted to certain sorghum genotypes, excluding most of the important African sorghum varieties. We recently developed a ternary vector system incorporating the pVIR accessory plasmid. The ternary vector system not only doubled the transformation frequency (TF) in Tx430, but also extended the transformation capability into an important African sorghum elite variety.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Calpains are a family of calcium-dependent intracellular cysteine proteases that regulate important physiological processes by substrate cleavage. Despite the fact that the role of calpains in cell migration and other processes has been extensively studied in vitro, the same does not apply to cell migration and morphogenetic events during embryogenesis, in vivo. Herein, we describe the use of three different methods to selectively block calpain activity in vivo in order to investigate the impact on Xenopus gastrulation and neurulation, namely, a calpain inhibitor, a dominant negative, and a morpholino antisense oligonucleotide (MO). We also provide methods to determine the effectiveness of the calpain inhibition and effect on cell fate specification and morphogenetic movements, during embryogenesis in vivo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Here in we describe a solid phase synthesis of oligonucleotides bearing unnatural moiety appropriate for complex formation with In-111 as well as their deprotection, isolation, and purification. We also present methods for oligonucleotides/In-111 complex formulation with single and double stranded oligonucleotides of RNA nature and give an example of preparation method for one supramolecular drug delivery system (DDS) consisting of radiolabeled siRNA and positively charged peptide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Background: Acetohydroxyacid Synthase (AHAS) is the first enzyme in the biosynthesis pathway of the branched chain amino acids. AHAS is the common target site of five herbicide chemical groups: sulfonylurea, imidazolinone, triazolopyrimidine, pyrimidinyl-thiobenzoates, and sulfonyl-am inocarbonyl-triawlinone Objective: The purification of protein enabled us to study the physical and biochemical properties of the enzyme. In addition in vitro activity of this enzyme was tested in the presence of four different sulfonylureaberbicides and the feedback regulation of enzyme was analyzed in the presence of branched amino acids. Methods: The gene encoding catalytic subunit of rice AHAS (cOsAHAS) without part of the chloroplast transit sequence was cloned into the bacterial expression vector pET41a and heterologously expressed in Escherichia coli as carboxy-terminal extensions of glutathione-S-transferase (GST).The soluble protein was purified using affinity chromatography. The measurement of GST-OsAHAS activity was performed under optimized conditions at present of branched-chain amino acids and sulfonylurea herbicides independently. Results: The optimum pH and temperature for GST-cOsAHAS activity was 8.0 and 37 degrees C, respectively. The specific activity and Km value of this enzyme toward pyruvate were 0.08 U/mg and 30 mM, respectively.GST-cOsAHAS was inhibited by herbicides tribenuron, sulfosulfuron, nicosulfiiron and bensulfuron while the enzyme was insensitivieto end products. Conclusion: These results suggest that the recombinant form of GST-cOsAHAS is functionally active and carries the binding site for sulfynylurea herbicides. Furthermore, GST-cOsAHAS was insensitive to feedback inhibition by endproducts which indicates the existence of a regulator subunit in rice AHAS as previously has been described in other plant AHASs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Chlamydia spp. infections cause immunopathology of the male and female urogenital tracts and incidence continues to rise across the globe. Animal models offer the opportunity to study the host: pathogen relationship, with rodent models being an attractive first step in studying immune interactions, genetic knockout, as well as bacterial inhibitor and vaccine trials. Here we describe the methodology to infect both male and female rodents at various mucosal sites, with a particular focus on the reproductive tracts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"A wide variety of posttranslational modifications of expressed proteins are known to occur in living organisms (Krishna R, Wold F. Post-translational modification of proteins. In: Meister A (ed) Advances in enzymology and related areas of molecular biology. Wiley, New York, 1993, pp 265-296). Although their presence in an organism cannot be predicted from the genome, these modifications can play critical roles in protein structure and function. The identification of posttranslational modifications is critical to our understanding of the functions of proteins involved in important biological pathways and mass spectrometry offers a fast, accurate method for observing them. A combined top-down/bottom-up approach can be used for identification and localization of posttranslational modifications of ribosomal proteins. This chapter describes procedures for analyzing Escherichia coli ribosomal proteins and their modifications by matrix-assisted laser desorption ionization-time-of-flight (MALDI-TOF) mass spectrometry. It also covers the analysis of gram-negative Caulobacter crescentus and gram-positive Bacillus subtilis ribosomal proteins by electrospray quadrupole time-of-flight (ESI-QTOF) mass spectrometry. Confirmation of the occurrence and localization of PTMs is obtained through mass spectrometric analysis of tryptic peptides.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Background: There is some evidence suggesting an interaction between the renin-angiotensin-aldosterone system (RAAS) and parathyroid hormone (PTH). Recently, the number of patients who have been diagnosed as asymptomatic hyperparathyroidism among patients with primary hyperparathyroidism (PHPT) has been increasing steadily. Although there are many studies on cardiovascular outcomes in primary hyperparathyroidism, there is not enough data on cardiovascular outcomes in patients with asymptomatic hyperparathyroidism yet. Objective: Our objective was to investigate plasma renin levels and aldosterone concentrations in patients with asymptomatic PHPT. Study design: 32 patients with asymptomatic PHPT and 22 healthy control subjects were recruited for this study. Materials and methods: The levels of renin, aldosterone concentration, PTH, calcium, phosphorus, creatinine, and creatinine clearance were investigated. Results: Median PTH and calcium levels were higher and phosphorus levels were lower in patients with asymptomatic PHPT than control group (p = 0.0001, p = 0.0001, p = 0.0001). There were no statistically significant differences in terms of plasma renin levels (5.9 (3.3 - 9.0) vs. 5.0 (1.8 - 14.5) mU/L, p = 0.62) and aldosterone concentrations (95.0 (52.3 - 132.4) vs. 105.9 (93.2 - 206.5) pg/mL, p = 0.08) between the groups. Also, there were no correlations between calcium, PTH levels and renin levels and aldosterone concentrations (p > 0.05). Conclusion: Our results suggest no major alterations in the RAAS in patients with asymptomatic PHPT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Small RNAs in bacteria are noncoding RNAs that act as posttranscriptional regulators of gene expression. Over time, they have gained importance as fine-tuners of expression of genes involved in critical biological processes like metabolism, fitness, virulence, and antibiotic resistance. The availability of various high-throughput strategies enable the detection of these molecules but are technically challenging and time-intensive. Thus, to fulfil the need of a simple computational algorithm pipeline to predict these sRNAs in bacterial species, we detail a user-friendly ensemble method with specific application in Acinetobacter spp. The developed algorithms primarily look for intergenic regions in the genome of related Acinetobacter spp., thermodynamic stability, and conservation of RNA secondary structures to generate a model input for the sRNAPredict3 tool which utilizes all this information to generate a list of putative sRNA. We confirmed the accuracy of the method by comparing its output with the RNA-seq data and found the method to be faster and more accurate for Acinetobacter baumannii ATCC 17978. Thus, this method improves the identification of sRNA in Acinetobacter and other bacterial species.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Lipopolysaccharide (LPS) is related to human inflammation. Therefore, in the probiotics research field, controlling the mechanisms of LPS neutralization and elimination of inflammation of human intestines are important. This chapter presents a description of the identification of LPS elimination protein (LEP) in lactic acid bacteria (LAB), cloning of its protein, and its expression. First, LEP is extracted from the LAB cell wall digestion fraction using Blue Native PAGE. Then LEP is identified by the elimination activity of LPS on gel pieces. Results show that the LEP is an approx. 200 kDa protein part of heat shock protein in lactic acid bacteria. After sequencing amino acids of LEP, LEP cloning is done using a Brevibacillus sp. expression system without a general transformation system but with Gram-negative Escherichia coli having LPS. Results presented in this chapter demonstrate the elimination activity of recombinant LEP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Highly soluble and stable proteins are desirable for many different applications, from basic science to reaching a cancer patient in the formof a biological drug. For X-ray crystallography-where production of a protein crystal might take weeks and even months-a stable protein sample of high purity and concentration can greatly increase the chances of producing a well-diffracting crystal. For a patient receiving a specific protein drug, its safety, efficacy, and even cost are factors affected by its solubility and stability. Increased protein expression and protein stability can be achieved by randomly altering the coding sequence. As the number of mutants generated might be overwhelming, a powerful protein expression and stability screen is required. In this chapter, we describe a colony filtration technology, which allows us to screen random mutagenesis libraries for increased thermal stability-the Hot CoFi blot. We share how to create the random mutagenesis library, how to perform the Hot CoFi blot, and how to identify more thermally stable clones. We use the Tobacco Etch Virus protease as a target to exemplify the procedure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"The study is devoted to the development of the author's methodology for assessing the results of the investment activities of the oil producing company using the simulation modeling. The investment project for the well construction for oil production using the Steam Assisted Gravity Drainage (SAGD) para-gravitational effect technology lies at the heart of the developed model. A meaningful interpretation of the author's approach to the construction of an algorithm for economic and mathematical modeling and an explanation of its key specific features is the basis for justifying the prerequisites for applying the simulation model as part of the methodological tool for assessing the production investments of oil producing organizations. The composition of the indicators with variable and fixed values forming the array of initial model data characterizes the preparation period for the field development, including well construction and arrangement of adjacent territories, as well as the oil production stage. The statistical analysis of the experimental values of the net cash flow, based on the variation of the OIBDA and CAPEX indicators, allows quickly assessing the current efficiency of the project and revise it in a timely manner, taking into account the adjustment of the range of values of the initial variables as a result of changes in the technical and economic conditions of the project, explained by a significant volatility level of the modern economic conjuncture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Immunoblotting is a procedure routinely used to analyze calpastatin expression. However, immunoblotting alone may not be adequate for this task, since calpastatin isoforms can vary by tissue, can be modified by partial digestion, and can undergo posttranslational modifications. Here we describe a method for more precise evaluation of calpastatin expression by combining immunoblot analysis with an assay for the inhibitory activity of a single calpastatin species isolated by SDS-PAGE and protein elution from the gel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"In this chapter we provide some initial guidance to experimentalists on how they might go about creating mathematical representations of their systems under study. Because the interests and goals of different researchers can differ, we try to provide broad instruction on the creation and use of mathematical models. We provide a brief overview of some modeling that has been done with Proteus mirabilis colonies, and discuss the goals of modeling. We suggest ways that collaborative teams may communicate with one another more effectively, and how they can build more confidence in their model results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"The chick embryo is a powerful model for experimental embryology due to its accessibility, sturdiness, and ease of manipulation. Here we describe protocols for analysis of protein-DNA and protein-protein interactions in tissues and cells isolated from the developing chick. These assays are aimed at the identification of interactions between transcription factors and regulatory elements in the genome, and, in combination with functional assays, can be used for the delineation of gene regulatory circuits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Background: In recent years, the rapid growth of biological datasets in Bioinformatics has made the computation of Multiple Sequence Alignment (MSA) become extremely slow. Using the GPU to accelerate MSA has shown to be an effective approach. Moreover, there is a trend that many bioinformatic researchers or institutes setup a shared server for remote users to submit MSA jobs via provided web-pages or tools. Objective: Given the fact that different MSA jobs submitted by users often process similar datasets, there can be an opportunity for users to share their computation results between each other, which can avoid the redundant computation and thereby reduce the overall computing time. Furthermore, in the heterogeneous CPU/GPU platform, many existing applications assign their computation on GPU devices only, which leads to a waste of the CPU resources. Co-run computation can increase the utilization of computing resources on both CPUs and GPUs by dispatching workloads onto them simultaneously. Methods: In this paper, we propose an efficient MSA system called GMSA for multi-users on shared heterogeneous CPU/GPU platforms. To accelerate the computation of jobs from multiple users, data sharing is considered in GMSA due to the fact that different MSA jobs often have a percentage of the same data and tasks. Additionally, we also propose a scheduling strategy based on the similarity in datasets or tasks between MSA jobs. Furthermore, co-run computation model is adopted to take full use of both CPUs and GPUs. Results: We use four protein datasets which were redesigned according to different similarity. We compare GMSA with ClustalW and CUDA-ClustalW in multiple users scenarios. Experiments results showed that GMSA can achieve a speedup of up to 32X. Conclusion: GMSA is a system designed for accelerating the computation of MSA jobs with shared input datasets on heterogeneous CPU/GPU platforms. In this system, a strategy was proposed and implemented to find the common datasets among jobs submitted by multiple users, and a scheduling algorithm is presented based on it. To utilize the overall resource of both CPU and GPU, GMSA employs the co-run computation model. Results showed that it can speed up the total computation of jobs efficiently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"High-throughput targeted repeat element bisulfite sequencing (HT-TREBS) is designed to assay the methylation level of individual retrotransposon loci of a targeted family, in a locus-specific manner, and on a genome-wide scale. Briefly, genomic DNA is sheared and ligated to Ion Torrent A adaptors (with methylated cytosines), followed by bisulfite-conversion, and amplification with primers designed to bind the targeted retrotransposon. Since the primers carry the Ion Torrent P1 adaptor as a 5'-extension, the amplified library is ready to be size-selected and sequenced on a next-generation sequencing platform. Once sequenced, each retrotransposon is mapped to a particular genomic locus, which is achieved through ensuring at least a 10-bp overlap with flanking unique sequence, followed by the calculation of methylation levels of the mapped retrotransposon using a BiQ Analyzer HT. A complete protocol for library construction as well as the bioinformatics for HT-TREBS is described in this chapter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"The necessity of taking into account various factors in the process of improvement of the territory of preschool institutions (PI) is considered. There is an urgent need for an integrated approach, associated with the great importance of healthy and proper education of the growing generation. By authors it is established that the landscape organization of the territory of preschool institutions with a set of planning elements, subordinates to the general plan, despite the obvious appeal, can meet serious obstacles in the form of need of zoning of the site for groups of children of different age. Laying of the ""an ecological track"" playing an important role in the system of accumulation by each child of personal experience of the correct interaction with the nature can be the decision. By authors it is also shown that the correct planning of the territory of preschool institutions is impossible without competent solution of questions of gardening. It is one of the major moments in all a complex of actions for creation of the comfortable environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
